측 정 소: ,701,광복동,,,,,,,,,,,,,,,,,,,,,,,,,
측정항목: ,1,O₃,,,,,,,,,,,,,,,,,,,,,,,,,
측정년월: , 2010년,01월,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최소,최대,평균
29일,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.5,0.4
30일,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.7,0.8,0.9,1,1,0.3,1,0.5
31일,1.1,1.1,1,1,0.8,0.8,0.8,0.8,0.8,1,1.1,1,1,1,1,0.9,0.9,0.7,0.7,1,1.2,1.2,1.1,0.8,0.7,1.2,1
최소,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,
최대,1.4,1.7,1.5,1.4,1.3,1.3,1.2,1.4,1.9,2.3,2.6,2,1,1,1,0.9,0.9,0.8,1.2,1.4,1.2,1.2,1.1,1.2,,2.6,
평균,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.5,0.4,0.4,,,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
측 정 소: ,701,광복동,,,,,,,,,,,,,,,,,,,,,,,,,
측정항목: ,2,NO₂,,,,,,,,,,,,,,,,,,,,,,,,,
측정년월: , 2010년,01월,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최소,최대,평균
1일,0.011,0.011,0.011,0.01,0.011,0.01,0.014,0.016,0.02,0.015,0.015,0.015,0.017,0.017,0.018,0.019,0.025,0.041,0.05,0.053,0.053,0.047,0.039,0.031,0.01,0.053,0.024
2일,0.022,0.019,0.018,0.013,0.017,0.021,0.047,0.058,0.067,0.068,0.049,0.032,0.03,0.033,0.032,0.029,0.031,0.042,0.063,0.067,0.056,0.035,0.032,0.027,0.013,0.068,0.038
3일,0.017,0.018,0.018,0.017,0.014,0.015,0.02,0.032,0.022,0.016,0.015,0.014,0.013,0.013,0.014,0.016,0.018,0.028,0.047,0.054,0.049,0.036,0.033,0.022,0.013,0.054,0.023
4일,0.021,0.032,0.043,0.047,0.043,0.048,0.048,0.053,0.07,0.072,0.058,0.038,0.034,0.029,0.03,0.028,0.026,0.025,0.027,0.03,0.026,0.025,0.024,0.019,0.019,0.072,0.037
